date_period,orig_country,lang_family,lang_branch,orig_lang,dest_continent,dest_country,num_results
1/1/07,us,Indo-European,Germanic,en,Belgium,1420
1/1/07,us,Indo-European,Germanic,en,Bulgaria,1670
1/1/07,us,Indo-European,Germanic,en,Bosnia and Herzegovina,32
1/1/07,us,Indo-European,Germanic,en,Belarus,1550
1/1/07,us,Indo-European,Germanic,en,Switzerland,2390
1/1/07,us,Indo-European,Germanic,en,Czech Republic,1200
1/1/07,us,Indo-European,Germanic,en,Germany,7920
1/1/07,us,Indo-European,Germanic,en,Denmark,982
1/1/07,us,Indo-European,Germanic,en,Spain,3760
1/1/07,us,Indo-European,Germanic,en,Estonia,140
1/1/07,us,Indo-European,Germanic,en,Finland,1010
1/1/07,us,Indo-European,Germanic,en,France,16100
1/1/07,us,Indo-European,Germanic,en,United Kingdom,19660
1/1/07,us,Indo-European,Germanic,en,Georgia,6560
1/1/07,us,Indo-European,Germanic,en,Greece,889
1/1/07,us,Indo-European,Germanic,en,Greenland,70
1/1/07,us,Indo-European,Germanic,en,Croatia,184
1/1/07,us,Indo-European,Germanic,en,Hungary,737
1/1/07,us,Indo-European,Germanic,en,Ireland,3800
1/1/07,us,Indo-European,Germanic,en,Italy,4270
1/1/07,us,Indo-European,Germanic,en,Kazakhstan,807
1/1/07,us,Indo-European,Germanic,en,Kyrgyzstan,50
1/1/07,us,Indo-European,Germanic,en,Lithuania,110
1/1/07,us,Indo-European,Germanic,en,Macedonia,108
1/1/07,us,Indo-European,Germanic,en,Netherlands,1640
1/1/07,us,Indo-European,Germanic,en,Norway,1090
1/1/07,us,Indo-European,Germanic,en,Poland,2000
1/1/07,us,Indo-European,Germanic,en,Portugal,3550
1/1/07,us,Indo-European,Germanic,en,Romania,1780
1/1/07,us,Indo-European,Germanic,en,Russia,8860
1/1/07,us,Indo-European,Germanic,en,Serbia,1460
1/1/07,us,Indo-European,Germanic,en,Slovakia,625
1/1/07,us,Indo-European,Germanic,en,Slovenia,590
1/1/07,us,Indo-European,Germanic,en,Sweden,1870
1/1/07,us,Indo-European,Germanic,en,Tajikistan,39
1/1/07,us,Indo-European,Germanic,en,Turkmenistan,78
1/1/07,us,Indo-European,Germanic,en,Turkey,2620
1/1/07,us,Indo-European,Germanic,en,Ukraine,3340
1/1/07,us,Indo-European,Germanic,en,Uzbekistan,88
1/1/07,us,Indo-European,Germanic,en,Australia,13200
1/1/07,us,Indo-European,Germanic,en,China,21000
1/1/07,us,Indo-European,Germanic,en,Hong Kong,3750
1/1/07,us,Indo-European,Germanic,en,Indonesia,4960
1/1/07,us,Indo-European,Germanic,en,Japan,11100
1/1/07,us,Indo-European,Germanic,en,Cambodia,641
1/1/07,us,Indo-European,Germanic,en,South Korea,3540
1/1/07,us,Indo-European,Germanic,en,Laos,124
1/1/07,us,Indo-European,Germanic,en,Macau,120
1/1/07,us,Indo-European,Germanic,en,Myanmar,761
1/1/07,us,Indo-European,Germanic,en,Mongolia,79
1/1/07,us,Indo-European,Germanic,en,Malaysia,2360
1/1/07,us,Indo-European,Germanic,en,New Zealand,3730
1/1/07,us,Indo-European,Germanic,en,Philippines,2440
1/1/07,us,Indo-European,Germanic,en,Papua New Guinea,63
1/1/07,us,Indo-European,Germanic,en,North Korea,2900
1/1/07,us,Indo-European,Germanic,en,Singapore,3010
1/1/07,us,Indo-European,Germanic,en,Thailand,2570
1/1/07,us,Indo-European,Germanic,en,Vietnam,5410
1/1/07,us,Indo-European,Germanic,en,Taiwan,2330
1/1/07,us,Indo-European,Germanic,en,French Guiana,9
1/1/07,us,Indo-European,Germanic,en,South Sudan,665
2/1/07,us,Indo-European,Germanic,en,Angola,882
2/1/07,us,Indo-European,Germanic,en,Burundi,125
2/1/07,us,Indo-European,Germanic,en,Benin,77
2/1/07,us,Indo-European,Germanic,en,Burkina Faso,136
2/1/07,us,Indo-European,Germanic,en,Botswana,77
2/1/07,us,Indo-European,Germanic,en,Central African Republic,90
2/1/07,us,Indo-European,Germanic,en,Cote d'Ivoire,377
2/1/07,us,Indo-European,Germanic,en,Cameroon,125
2/1/07,us,Indo-European,Germanic,en,Republic of the Congo,71
2/1/07,us,Indo-European,Germanic,en,Eritrea,77
2/1/07,us,Indo-European,Germanic,en,Ethiopia,551
2/1/07,us,Indo-European,Germanic,en,Gabon,69
2/1/07,us,Indo-European,Germanic,en,Ghana,1120
2/1/07,us,Indo-European,Germanic,en,Guinea,1090
2/1/07,us,Indo-European,Germanic,en,Gambia,61
2/1/07,us,Indo-European,Germanic,en,Guinea-Bissau,35
2/1/07,us,Indo-European,Germanic,en,Kenya,1440
2/1/07,us,Indo-European,Germanic,en,Liberia,740
2/1/07,us,Indo-European,Germanic,en,Lesotho,58
2/1/07,us,Indo-European,Germanic,en,Madagascar,91
2/1/07,us,Indo-European,Germanic,en,Mali,1220
2/1/07,us,Indo-European,Germanic,en,Mozambique,521
2/1/07,us,Indo-European,Germanic,en,Mauritania,98
2/1/07,us,Indo-European,Germanic,en,Mauritius,63
2/1/07,us,Indo-European,Germanic,en,Malawi,90
2/1/07,us,Indo-European,Germanic,en,Namibia,136
2/1/07,us,Indo-European,Germanic,en,Niger,742
2/1/07,us,Indo-European,Germanic,en,Nigeria,2860
2/1/07,us,Indo-European,Germanic,en,Rwanda,177
2/1/07,us,Indo-European,Germanic,en,Sudan,1730
2/1/07,us,Indo-European,Germanic,en,Senegal,718
2/1/07,us,Indo-European,Germanic,en,Sierra Leone,147
2/1/07,us,Indo-European,Germanic,en,Somalia,1300
2/1/07,us,Indo-European,Germanic,en,Chad,2460
2/1/07,us,Indo-European,Germanic,en,Togo,112
2/1/07,us,Indo-European,Germanic,en,Tanzania,592
2/1/07,us,Indo-European,Germanic,en,Uganda,1170
2/1/07,us,Indo-European,Germanic,en,South Africa,5360
2/1/07,us,Indo-European,Germanic,en,Democratic Republic of the Congo,69
2/1/07,us,Indo-European,Germanic,en,Zambia,119
2/1/07,us,Indo-European,Germanic,en,Zimbabwe,1110
2/1/07,us,Indo-European,Germanic,en,Afghanistan,8900
2/1/07,us,Indo-European,Germanic,en,Bangladesh,1090
2/1/07,us,Indo-European,Germanic,en,Bhutan,28
2/1/07,us,Indo-European,Germanic,en,India,13700
2/1/07,us,Indo-European,Germanic,en,Sri Lanka,2230
2/1/07,us,Indo-European,Germanic,en,Nepal,635
2/1/07,us,Indo-European,Germanic,en,Pakistan,5440
2/1/07,us,Indo-European,Germanic,en,Canada,13400
2/1/07,us,Indo-European,Germanic,en,United States,41725
2/1/07,us,Indo-European,Germanic,en,United Arab Emirates,1060
2/1/07,us,Indo-European,Germanic,en,Algeria,508
2/1/07,us,Indo-European,Germanic,en,Egypt,2410
2/1/07,us,Indo-European,Germanic,en,Iran,13500
2/1/07,us,Indo-European,Germanic,en,Iraq,21500
2/1/07,us,Indo-European,Germanic,en,Israel,9910
2/1/07,us,Indo-European,Germanic,en,Jordan,5130
2/1/07,us,Indo-European,Germanic,en,Kuwait,1190
2/1/07,us,Indo-European,Germanic,en,Lebanon,3210
2/1/07,us,Indo-European,Germanic,en,Libya,546
2/1/07,us,Indo-European,Germanic,en,Morocco,166
2/1/07,us,Indo-European,Germanic,en,Oman,533
2/1/07,us,Indo-European,Germanic,en,Qatar,1520
2/1/07,us,Indo-European,Germanic,en,Saudi Arabia,3000
2/1/07,us,Indo-European,Germanic,en,Syria,2840
2/1/07,us,Indo-European,Germanic,en,Tunisia,96
2/1/07,us,Indo-European,Germanic,en,West Bank,2012
2/1/07,us,Indo-European,Germanic,en,Yemen,153
2/1/07,us,Indo-European,Germanic,en,Argentina,8460
2/1/07,us,Indo-European,Germanic,en,Bolivia,2520
2/1/07,us,Indo-European,Germanic,en,Brazil,2660
2/1/07,us,Indo-European,Germanic,en,Chile,3880
2/1/07,us,Indo-European,Germanic,en,Colombia,3790
2/1/07,us,Indo-European,Germanic,en,Costa Rica,1550
2/1/07,us,Indo-European,Germanic,en,Cuba,3330
2/1/07,us,Indo-European,Germanic,en,Dominican Republic,176
2/1/07,us,Indo-European,Germanic,en,Ecuador,3480
2/1/07,us,Indo-European,Germanic,en,Guatemala,1750
2/1/07,us,Indo-European,Germanic,en,Honduras,908
2/1/07,us,Indo-European,Germanic,en,Haiti,157
2/1/07,us,Indo-European,Germanic,en,Jamaica,992
2/1/07,us,Indo-European,Germanic,en,Mexico,7250
2/1/07,us,Indo-European,Germanic,en,Nicaragua,1270
2/1/07,us,Indo-European,Germanic,en,Panama,1440
2/1/07,us,Indo-European,Germanic,en,Peru,1220
2/1/07,us,Indo-European,Germanic,en,Puerto Rico,1290
2/1/07,us,Indo-European,Germanic,en,Paraguay,1360
2/1/07,us,Indo-European,Germanic,en,El Salvador,2230
2/1/07,us,Indo-European,Germanic,en,Uruguay,3490
2/1/07,us,Indo-European,Germanic,en,Venezuela,5870
2/1/07,us,Indo-European,Germanic,en,Albania,104
2/1/07,us,Indo-European,Germanic,en,Armenia,709
2/1/07,us,Indo-European,Germanic,en,Austria,2070
2/1/07,us,Indo-European,Germanic,en,Azerbaijan,1060
2/1/07,us,Indo-European,Germanic,en,Belgium,1490
2/1/07,us,Indo-European,Germanic,en,Bulgaria,995
2/1/07,us,Indo-European,Germanic,en,Bosnia and Herzegovina,50
2/1/07,us,Indo-European,Germanic,en,Belarus,687
2/1/07,us,Indo-European,Germanic,en,Switzerland,1650
2/1/07,us,Indo-European,Germanic,en,Czech Republic,1190
2/1/07,us,Indo-European,Germanic,en,Germany,8830
2/1/07,us,Indo-European,Germanic,en,Denmark,1210
2/1/07,us,Indo-European,Germanic,en,Spain,4590
2/1/07,us,Indo-European,Germanic,en,Estonia,144
2/1/07,us,Indo-European,Germanic,en,Finland,1180
2/1/07,us,Indo-European,Germanic,en,France,16100
2/1/07,us,Indo-European,Germanic,en,United Kingdom,18975
2/1/07,us,Indo-European,Germanic,en,Georgia,6110
2/1/07,us,Indo-European,Germanic,en,Greece,811
2/1/07,us,Indo-European,Germanic,en,Greenland,75
2/1/07,us,Indo-European,Germanic,en,Croatia,532
2/1/07,us,Indo-European,Germanic,en,Hungary,917
2/1/07,us,Indo-European,Germanic,en,Ireland,4100
2/1/07,us,Indo-European,Germanic,en,Italy,5420
2/1/07,us,Indo-European,Germanic,en,Kazakhstan,690
2/1/07,us,Indo-European,Germanic,en,Kyrgyzstan,46
2/1/07,us,Indo-European,Germanic,en,Lithuania,126
2/1/07,us,Indo-European,Germanic,en,Macedonia,114
2/1/07,us,Indo-European,Germanic,en,Netherlands,1900
2/1/07,us,Indo-European,Germanic,en,Norway,1380
2/1/07,us,Indo-European,Germanic,en,Poland,1770
2/1/07,us,Indo-European,Germanic,en,Portugal,3820
2/1/07,us,Indo-European,Germanic,en,Romania,1700
2/1/07,us,Indo-European,Germanic,en,Russia,9980
2/1/07,us,Indo-European,Germanic,en,Serbia,1430
2/1/07,us,Indo-European,Germanic,en,Slovakia,196
2/1/07,us,Indo-European,Germanic,en,Slovenia,161
2/1/07,us,Indo-European,Germanic,en,Sweden,2130
2/1/07,us,Indo-European,Germanic,en,Tajikistan,40
2/1/07,us,Indo-European,Germanic,en,Turkmenistan,105
2/1/07,us,Indo-European,Germanic,en,Turkey,2930
2/1/07,us,Indo-European,Germanic,en,Ukraine,2660
2/1/07,us,Indo-European,Germanic,en,Uzbekistan,81
2/1/07,us,Indo-European,Germanic,en,Australia,12700
2/1/07,us,Indo-European,Germanic,en,China,20600
2/1/07,us,Indo-European,Germanic,en,Hong Kong,3650
2/1/07,us,Indo-European,Germanic,en,Indonesia,4240
2/1/07,us,Indo-European,Germanic,en,Japan,11800
2/1/07,us,Indo-European,Germanic,en,Cambodia,110
2/1/07,us,Indo-European,Germanic,en,South Korea,3640
2/1/07,us,Indo-European,Germanic,en,Laos,85
2/1/07,us,Indo-European,Germanic,en,Macau,112
2/1/07,us,Indo-European,Germanic,en,Myanmar,122
2/1/07,us,Indo-European,Germanic,en,Mongolia,89
2/1/07,us,Indo-European,Germanic,en,Malaysia,1940
2/1/07,us,Indo-European,Germanic,en,New Zealand,4330
2/1/07,us,Indo-European,Germanic,en,Philippines,1790
2/1/07,us,Indo-European,Germanic,en,Papua New Guinea,79
2/1/07,us,Indo-European,Germanic,en,North Korea,3560
2/1/07,us,Indo-European,Germanic,en,Singapore,2390
2/1/07,us,Indo-European,Germanic,en,Thailand,1860
