9460,168,615,1520,12500,813,16700,3440,1330,3080,660,1360,83,57,3980,86,138,3780,1620,142,138,773,113,16800,98,3640,9530,31700,6460,1570,326,2230,4150,1220,83,1280,663,4360,2240,2960,109,611,673,1850,22900,16,88,71,8390,9500,1400,1150,71,1860,852,50,688,1150,6260,1010,18400,5760,11200,16200,4950,10900,5850,1320,13700,5380,1230,1670,1420,86,560,3120,88,166,832,160,402,678,118,137,3640,1680,114,113,7900,130,703,177,1840,139,644,2160,5890,1890,536,2900,2210,1660,749,13700,2200,91,1970,2080,2820,2280,6000,1570,1790,90,2230,12500,799,4470,732,1980,155,5290,614,513,1110,7440,4020,504,5140,3610,2340,2030,2500,3010,3440,75,592,2460,158,184,6280,130,1670,4430,1470,28770,48655,4660,552,10800,4590,2547,618,150,1390
8440,133,915,1280,12200,621,14700,2640,1110,1830,661,1270,70,66,4150,69,105,3110,1210,116,127,142,105,15200,84,2740,5230,28500,6770,1160,121,726,4960,1420,76,1040,137,4140,2200,2240,107,669,645,1420,21400,8,92,68,5890,7500,1570,1050,85,1170,808,38,517,937,4990,767,20400,7470,9690,14200,4090,8890,4610,1070,12600,4500,1100,2300,1470,84,133,2020,57,104,1010,120,116,132,103,97,3110,1360,108,98,6480,103,171,146,910,135,1240,1770,4760,1570,159,2040,2120,1500,695,14000,2620,102,1850,1370,2320,1990,5030,1460,1420,80,2030,11900,746,2510,804,2010,97,4300,687,677,1420,5790,3590,162,3580,3460,2370,1680,2470,1900,3500,61,200,2690,128,114,3270,105,1100,3730,1200,24580,44142,3760,121,9580,2960,2547,150,127,1680
9040,123,662,2110,10900,637,19800,2550,1210,2200,166,1360,838,51,2990,62,137,3200,1530,594,515,124,879,16800,87,2340,6360,29600,8020,1310,1001,804,4530,1270,213,1120,130,3840,4210,2590,88,187,662,1540,25100,13,95,73,7460,8240,4610,1250,68,1750,1470,36,166,952,6180,703,24900,7290,9900,15600,4860,13300,5090,961,12800,5340,778,7060,2840,42,100,3190,41,508,867,100,106,123,127,150,3680,2680,614,86,8480,120,908,176,716,958,1440,1780,5670,1690,635,4240,1540,1690,661,10800,2010,86,1390,1130,2340,1770,5250,1610,2490,284,2270,9010,1170,3000,1340,3010,658,4590,633,893,1220,6910,3240,152,4200,3620,2260,2350,3440,2000,4480,41,704,2410,181,648,2410,103,1480,3290,1635,28425,61732,4010,129,8650,4330,4082,146,847,1570
9220,751,175,1470,11700,1160,17900,3190,1290,1950,680,1520,646,52,2970,49,107,3170,1560,545,127,139,1330,16400,97,3520,5580,27200,6730,1540,677,1060,8670,1110,75,1200,185,3940,3110,3060,118,505,722,1250,25700,28,126,62,8050,8840,3560,1500,60,1760,1100,32,158,1020,4520,786,18500,7370,7500,15200,5160,10200,5450,1090,12300,5110,780,3640,1250,48,130,2910,62,797,810,122,104,660,134,135,3160,1630,94,74,8350,91,554,182,786,159,855,2090,6060,1570,154,3350,1840,1450,612,9010,2060,88,1530,1480,2050,1760,4390,1950,2280,270,2980,10900,1320,1780,740,6300,144,4050,641,907,890,6910,3010,503,5120,3340,2760,2050,2710,2160,3550,41,1320,2280,539,137,3660,129,943,4400,1251,25415,54357,3940,141,9530,3880,2541,164,150,1440
9140,884,546,1220,13500,1110,17100,3060,1190,1990,850,1370,83,86,3280,65,134,3160,1410,155,103,132,532,17700,84,2480,6640,33800,13700,1660,95,1110,5190,1120,63,1480,583,11300,2650,3390,112,570,160,1200,26700,32,113,73,8010,8480,1450,1930,69,2060,824,25,192,1690,5900,764,20900,6350,9360,17500,5500,12200,5310,1200,13600,5660,794,2230,1400,63,135,2930,41,180,814,128,105,926,114,129,4530,1860,85,60,8720,118,594,171,711,145,1780,2380,6390,2660,161,2080,1700,1340,840,6970,1890,87,1690,1530,2170,1910,4660,2100,2040,72,2650,9610,600,2300,1030,2700,124,4040,197,862,1070,6720,3080,142,4390,2940,1960,2140,2440,2440,4170,64,596,2220,135,142,3050,100,779,4830,1263,26820,57340,3700,146,11900,4150,3760,878,107,2740
9570,1050,506,1180,14800,724,15500,2890,1320,1980,792,1350,71,55,4010,74,154,3980,1490,799,136,191,716,20100,82,3750,7100,38700,9330,2010,386,1120,4240,1360,74,1120,199,5730,3560,3670,81,536,649,1220,27100,20,106,45,8200,8920,1650,2060,66,1680,849,28,1910,1170,5370,793,20000,7590,8690,16300,4570,10600,5370,1460,13400,6090,1360,2430,1650,57,148,2600,85,166,790,133,123,1130,143,174,3890,1700,153,88,9800,133,678,703,834,145,2020,1920,6460,1710,557,3360,2340,1330,807,6510,1780,69,2870,1410,2750,2190,5820,2020,1750,76,3030,10700,632,2220,788,2190,144,3950,563,790,1910,7820,3620,557,4740,2740,2170,1830,2150,2780,3150,78,931,2880,144,120,3030,111,886,5040,1064,28385,61530,4100,159,7330,4640,2776,860,918,6430
8000,198,197,1020,15700,726,16100,4440,1090,2680,1060,1570,79,45,5230,65,154,3930,1390,544,138,522,538,19400,70,2980,7920,40800,9470,2170,398,779,5060,1490,71,1490,178,6700,3320,4220,119,628,633,1490,27000,13,138,92,7710,9250,1490,1670,85,1860,990,40,1040,1740,5360,651,18600,7810,10400,14900,5130,14300,6060,1440,13400,6340,911,1600,1520,64,554,4890,74,511,749,543,123,592,126,813,3870,1940,106,81,8910,125,590,880,8300,149,1650,1850,7430,2260,706,3650,1860,1700,613,6760,1920,99,2230,2240,2640,2200,7790,3200,2880,82,2690,11100,628,3050,709,2730,159,4540,722,957,1340,7630,3270,559,5150,2660,2120,2610,2790,3450,3740,74,655,4420,164,173,3570,107,758,4400,1093,27155,54260,4290,148,8800,5010,2712,854,155,3530
10100,197,753,1790,18800,690,17300,9670,1220,1940,852,1970,114,63,5570,54,623,4380,1660,624,156,132,607,20300,91,2750,8510,33400,9360,2130,364,3030,6640,2800,85,1660,162,6500,3040,4260,146,800,558,1300,35100,10,147,107,6750,13000,1490,2980,84,2440,1210,31,564,1570,5300,762,19000,7470,11600,14700,6930,13400,8670,1560,15800,5490,1040,2210,1380,63,153,3030,110,548,1000,508,138,757,617,180,4080,1830,117,102,10200,145,190,596,1350,176,1240,3760,7580,2230,945,3690,2460,1520,641,8330,1840,91,3700,1870,2970,3260,16400,2730,2520,88,4820,12600,887,3840,809,2720,186,3960,552,1430,1310,9090,4770,526,8550,2570,2110,3560,4580,2550,3660,59,966,2570,565,166,5090,107,1250,4480,1290,30370,64740,5470,145,9570,4320,2656,633,537,8090
13000,167,714,1820,18500,692,21700,4290,1030,1770,1060,1690,117,91,4650,60,651,5770,2040,845,112,1020,587,21900,80,3150,7940,42000,14000,2160,382,1210,6170,1720,76,1370,601,6170,2640,4060,109,511,684,1190,37000,15,144,79,6470,12500,1930,2050,87,2140,974,56,565,1670,6610,911,22500,8440,14300,16400,6510,16400,6420,1620,17200,4800,880,1960,1710,58,191,3360,103,534,1130,602,518,501,543,137,4710,1850,132,114,11600,732,582,179,1010,641,1230,2220,8150,2410,931,4470,2450,1510,560,9290,2680,93,2470,1740,2920,2300,8970,2300,2150,77,3590,13200,758,2100,909,4060,176,4820,194,766,1020,10700,4410,648,6770,2900,3100,2250,2740,2440,3350,62,700,2890,197,132,3910,120,1240,4230,1178,35580,77032,4470,160,10200,4940,2660,602,511,5580
11700,144,718,2520,23300,1190,23500,3150,2070,1620,2110,2320,73,56,5830,54,536,6470,2210,176,98,572,827,20900,67,3650,7410,77600,7770,1740,363,1720,10600,2690,58,1840,1330,5500,1880,4070,99,1330,947,1600,28200,6,108,99,30600,12600,1750,2770,98,2220,993,42,2220,3400,7770,2170,19700,8370,9640,13500,6250,9480,6880,5440,15900,4720,1750,2600,1040,538,162,2620,86,126,987,1670,377,144,556,167,4370,1920,928,118,13300,802,565,180,897,182,1590,3670,8960,2190,656,5710,2300,2500,535,11500,2320,100,3720,1720,2710,4280,5560,1890,1320,61,4120,26400,614,1610,533,4790,97,3980,764,733,1170,8460,5320,518,7910,2890,2430,2840,2790,1860,3730,639,576,3750,643,154,4000,140,888,7470,860,33555,81020,3760,910,10600,5320,2019,601,634,3650
